balance,equity,position,entry_price,trade_count,max_drawdown,step
89853.81724094528,99873.08476195185,call,23945.090059666414,6,0,184583
89766.96027711742,99735.85630170892,call,17653.32305572045,3,0,124203
89915.18277883386,99922.27591688378,call,9143.254991944963,3,0,40995
89700.20580195685,99678.5072780312,call,16300.75694333719,4,0,121489
89711.6117059105,99535.07928932375,call,10279.946590141793,8,0,59688
89544.0121281076,99429.89184036307,call,8627.09536766363,7,0,33082
89867.72016806321,99809.19082856238,call,9449.705075610898,5,0,43049
89878.14727801867,99821.93226862139,call,24683.20208250488,3,0,176100
89702.34114613253,99672.82570397515,call,16345.902630216699,7,0,121819
89324.57009623412,99241.8272941733,call,12972.556263788678,8,0,108843
